 Photon   	Incoher.	Photoel.	Nuclear 	Tot. wo/	
Energy   	Scatter.	Absorb. 	Pr. Prd.	Coherent	

1.000E-03	1.146E-02	3.378E+03	0.000E+00	3.378E+03	
1.500E-03	2.078E-02	1.161E+03	0.000E+00	1.161E+03	
2.000E-03	3.012E-02	5.317E+02	0.000E+00	5.318E+02	
2.145E-03	3.278E-02	4.380E+02	0.000E+00	4.380E+02	
2.145E-03	3.278E-02	1.496E+03	0.000E+00	1.496E+03	
3.000E-03	4.741E-02	6.567E+02	0.000E+00	6.567E+02	
4.000E-03	6.193E-02	3.040E+02	0.000E+00	3.041E+02	
4.038E-03	6.243E-02	2.962E+02	0.000E+00	2.963E+02	
4.038E-03	6.243E-02	5.283E+02	0.000E+00	5.284E+02	
5.000E-03	7.385E-02	3.022E+02	0.000E+00	3.023E+02	
6.000E-03	8.368E-02	1.841E+02	0.000E+00	1.842E+02	
8.000E-03	9.891E-02	8.297E+01	0.000E+00	8.307E+01	
1.000E-02	1.102E-01	4.404E+01	0.000E+00	4.415E+01	
1.500E-02	1.288E-01	1.353E+01	0.000E+00	1.366E+01	
2.000E-02	1.395E-01	5.746E+00	0.000E+00	5.886E+00	
3.000E-02	1.492E-01	1.677E+00	0.000E+00	1.826E+00	
4.000E-02	1.521E-01	6.899E-01	0.000E+00	8.420E-01	
5.000E-02	1.522E-01	3.440E-01	0.000E+00	4.962E-01	
6.000E-02	1.509E-01	1.941E-01	0.000E+00	3.450E-01	
8.000E-02	1.466E-01	7.822E-02	0.000E+00	2.248E-01	
1.000E-01	1.415E-01	3.857E-02	0.000E+00	1.800E-01	
1.500E-01	1.294E-01	1.069E-02	0.000E+00	1.401E-01	
2.000E-01	1.193E-01	4.347E-03	0.000E+00	1.237E-01	
3.000E-01	1.043E-01	1.267E-03	0.000E+00	1.056E-01	
4.000E-01	9.368E-02	5.520E-04	0.000E+00	9.423E-02	
5.000E-01	8.566E-02	3.006E-04	0.000E+00	8.596E-02	
6.000E-01	7.928E-02	1.883E-04	0.000E+00	7.947E-02	
8.000E-01	6.970E-02	9.553E-05	0.000E+00	6.980E-02	
