Photon   	Incoher.	Photoel.	Nuclear 	Tot. wo/	
Energy   	Scatter.	Absorb. 	Pr. Prd.	Coherent	

1.000E-03	3.547E-02	1.517E+03	0.000E+00	1.517E+03	
1.500E-03	6.979E-02	5.083E+02	0.000E+00	5.084E+02	
2.000E-03	1.054E-01	2.270E+02	0.000E+00	2.271E+02	
3.000E-03	1.650E-01	7.039E+01	0.000E+00	7.056E+01	
4.000E-03	2.048E-01	3.000E+01	0.000E+00	3.020E+01	
5.000E-03	2.302E-01	1.532E+01	0.000E+00	1.555E+01	
6.000E-03	2.468E-01	8.781E+00	0.000E+00	9.027E+00	
8.000E-03	2.659E-01	3.612E+00	0.000E+00	3.878E+00	
1.000E-02	2.758E-01	1.798E+00	0.000E+00	2.073E+00	
1.500E-02	2.854E-01	4.967E-01	0.000E+00	7.822E-01	
2.000E-02	2.875E-01	1.970E-01	0.000E+00	4.845E-01	
3.000E-02	2.845E-01	5.271E-02	0.000E+00	3.373E-01	
4.000E-02	2.786E-01	2.052E-02	0.000E+00	2.991E-01	
5.000E-02	2.718E-01	9.838E-03	0.000E+00	2.816E-01	
6.000E-02	2.650E-01	5.386E-03	0.000E+00	2.704E-01	
8.000E-02	2.521E-01	2.081E-03	0.000E+00	2.542E-01	
1.000E-01	2.406E-01	9.957E-04	0.000E+00	2.416E-01	
1.500E-01	2.171E-01	2.632E-04	0.000E+00	2.174E-01	
2.000E-01	1.991E-01	1.040E-04	0.000E+00	1.992E-01	
3.000E-01	1.732E-01	2.936E-05	0.000E+00	1.733E-01	
4.000E-01	1.553E-01	1.257E-05	0.000E+00	1.553E-01	
5.000E-01	1.418E-01	6.775E-06	0.000E+00	1.418E-01	
6.000E-01	1.312E-01	4.219E-06	0.000E+00	1.312E-01	
8.000E-01	1.153E-01	2.129E-06	0.000E+00	1.153E-01	
1.000E+00	1.036E-01	1.324E-06	0.000E+00	1.036E-01	
1.022E+00	1.026E-01	1.233E-06	0.000E+00	1.026E-01	
1.250E+00	9.266E-02	8.370E-07	9.692E-06	9.268E-02	
1.500E+00	8.423E-02	6.073E-07	5.385E-05	8.428E-02	
2.000E+00	7.188E-02	3.821E-07	2.148E-04	7.209E-02	
2.044E+00	7.099E-02	3.696E-07	2.315E-04	7.122E-02	
3.000E+00	5.653E-02	2.135E-07	6.149E-04	5.717E-02	
4.000E+00	4.717E-02	1.466E-07	9.979E-04	4.824E-02	
5.000E+00	4.073E-02	1.111E-07	1.339E-03	4.223E-02	
6.000E+00	3.600E-02	8.936E-08	1.646E-03	3.790E-02	
7.000E+00	3.236E-02	7.466E-08	1.919E-03	3.461E-02	
8.000E+00	2.945E-02	6.407E-08	2.165E-03	3.203E-02	
9.000E+00	2.707E-02	5.609E-08	2.390E-03	2.996E-02	
1.000E+01	2.508E-02	4.988E-08	2.593E-03	2.825E-02	
1.100E+01	2.340E-02	4.490E-08	2.778E-03	2.682E-02	
1.200E+01	2.194E-02	4.081E-08	2.948E-03	2.560E-02	
1.300E+01	2.067E-02	3.740E-08	3.106E-03	2.456E-02	
1.400E+01	1.955E-02	3.452E-08	3.254E-03	2.365E-02	
1.500E+01	1.856E-02	3.205E-08	3.392E-03	2.285E-02	
1.600E+01	1.768E-02	2.991E-08	3.522E-03	2.216E-02	
1.800E+01	1.616E-02	2.638E-08	3.760E-03	2.098E-02	
2.000E+01	1.490E-02	2.359E-08	3.973E-03	2.003E-02	
2.200E+01	1.384E-02	2.134E-08	4.168E-03	1.925E-02	
2.400E+01	1.293E-02	1.948E-08	4.346E-03	1.861E-02	
2.600E+01	1.214E-02	1.792E-08	4.509E-03	1.806E-02	
2.800E+01	1.145E-02	1.658E-08	4.660E-03	1.759E-02	
3.000E+01	1.085E-02	1.544E-08	4.800E-03	1.719E-02	
4.000E+01	8.619E-03	1.147E-08	5.377E-03	1.582E-02	
5.000E+01	7.197E-03	9.122E-09	5.820E-03	1.506E-02	
6.000E+01	6.197E-03	7.574E-09	6.173E-03	1.459E-02	
8.000E+01	4.889E-03	5.653E-09	6.716E-03	1.411E-02	
1.000E+02	4.058E-03	4.509E-09	7.119E-03	1.390E-02	
1.500E+02	2.890E-03	2.994E-09	7.798E-03	1.381E-02	
2.000E+02	2.266E-03	2.242E-09	8.225E-03	1.388E-02	
3.000E+02	1.606E-03	1.491E-09	8.746E-03	1.409E-02	
4.000E+02	1.258E-03	1.118E-09	9.055E-03	1.428E-02	
5.000E+02	1.041E-03	8.935E-10	9.262E-03	1.443E-02	
6.000E+02	8.914E-04	7.443E-10	9.412E-03	1.455E-02	
8.000E+02	6.962E-04	5.580E-10	9.614E-03	1.474E-02	
1.000E+03	5.727E-04	4.462E-10	9.747E-03	1.486E-02	
